local-authority-code,league-group,la_imd_pop_quintile
ABD,Single tier,5.0
ABE,Single tier,4.0
ADU,District councils,4.0
AGB,Single tier,4.0
AGY,Single tier,3.0
ALL,District councils,3.0
AMB,District councils,4.0
ANS,Single tier,4.0
ARU,District councils,4.0
ASF,District councils,4.0
ASH,District councils,2.0
BAB,District councils,5.0
BAE,District councils,3.0
BAI,District councils,3.0
BAN,District councils,5.0
BAR,District councils,1.0
BAS,Single tier,5.0
BBD,Single tier,1.0
BDF,Single tier,3.0
BDG,Single tier,1.0
BEN,Single tier,2.0
BEX,Single tier,4.0
BGE,Single tier,2.0
BGW,Single tier,1.0
BIR,Single tier,1.0
BLA,District councils,5.0
BNE,Single tier,4.0
BNH,Single tier,3.0
BNS,Single tier,1.0
BOL,Single tier,1.0
BOS,District councils,2.0
BOT,District councils,3.0
BPC,Single tier,4.0
BPL,Single tier,1.0
BRA,District councils,4.0
BRC,Single tier,5.0
BRD,Single tier,1.0
BRE,District councils,3.0
BRM,District councils,5.0
BRO,District councils,5.0
BRT,District councils,4.0
BRW,District councils,5.0
BRX,District councils,4.0
BRY,Single tier,5.0
BST,Single tier,2.0
BUC,Single tier,5.0
BUN,District councils,1.0
BUR,Single tier,3.0
CAB,District councils,4.0
CAN,District councils,3.0
CAR,District councils,3.0
CAS,District councils,4.0
CAT,District councils,4.0
CAY,Single tier,1.0
CBF,Single tier,5.0
CGN,Single tier,3.0
CHA,District councils,5.0
CHE,Single tier,4.0
CHI,District councils,5.0
CHL,District councils,5.0
CHO,District councils,4.0
CHR,District councils,4.0
CHS,District councils,2.0
CHT,District councils,5.0
CHW,Single tier,4.0
CLD,Single tier,2.0
CLK,Single tier,3.0
CMD,Single tier,3.0
CMN,Single tier,2.0
COL,District councils,4.0
CON,Single tier,3.0
COP,District councils,2.0
COT,District councils,5.0
COV,Single tier,2.0
CRA,District councils,5.0
CRF,Single tier,2.0
CRW,District councils,3.0
CRY,Single tier,3.0
CWY,Single tier,3.0
DAC,District councils,5.0
DAL,Single tier,2.0
DAR,District councils,3.0
DEB,District councils,5.0
DEN,Single tier,2.0
DER,Single tier,2.0
DGY,Single tier,3.0
DNC,Single tier,1.0
DND,Single tier,2.0
DOV,District councils,3.0
DST,Single tier,4.0
DUD,Single tier,2.0
DUR,Single tier,2.0
EAL,Single tier,3.0
EAS,District councils,3.0
EAT,District councils,5.0
EAY,Single tier,2.0
ECA,District councils,5.0
EDE,District councils,5.0
EDH,Single tier,4.0
EDN,District councils,4.0
EDU,Single tier,5.0
EHA,District councils,5.0
EHE,District councils,5.0
ELI,District councils,1.0
ELM,District councils,5.0
ELN,Single tier,4.0
ELS,Single tier,4.0
ENF,Single tier,2.0
EPP,District councils,4.0
EPS,District councils,5.0
ERE,District councils,3.0
ERW,Single tier,5.0
ERY,Single tier,4.0
ESK,District councils,3.0
EST,District councils,3.0
EXE,District councils,4.0
FAL,Single tier,3.0
FAR,District councils,5.0
FEN,District councils,2.0
FIF,Single tier,3.0
FLN,Single tier,3.0
FOE,District councils,4.0
FYL,District councils,4.0
GAT,Single tier,2.0
GED,District councils,4.0
GLG,Single tier,1.0
GLO,District councils,3.0
GOS,District councils,3.0
GRA,District councils,3.0
GRE,Single tier,2.0
GRT,District councils,5.0
GRY,District councils,1.0
GWN,Single tier,3.0
HAA,District councils,3.0
HAE,District councils,5.0
HAG,District councils,5.0
HAL,Single tier,1.0
HAO,District councils,5.0
HAR,District councils,3.0
HAS,District councils,1.0
HAT,District councils,5.0
HAV,Single tier,4.0
HCK,Single tier,1.0
HEF,Single tier,3.0
HER,District councils,5.0
HIG,District councils,4.0
HIL,Single tier,4.0
HIN,District councils,5.0
HLD,Single tier,4.0
HMF,Single tier,3.0
HNS,Single tier,3.0
HOR,District councils,5.0
HPL,Single tier,1.0
HRW,Single tier,4.0
HRY,Single tier,2.0
HUN,District councils,5.0
HYN,District councils,1.0
IOS,Single tier,5.0
IOW,Single tier,3.0
IPS,District councils,2.0
ISL,Single tier,2.0
IVC,Single tier,1.0
KEC,Single tier,3.0
KHL,Single tier,1.0
KIN,District councils,3.0
KIR,Single tier,2.0
KTT,Single tier,5.0
KWL,Single tier,1.0
LAC,District councils,3.0
LBH,Single tier,2.0
LCE,Single tier,1.0
LDS,Single tier,2.0
LEE,District councils,4.0
LEW,Single tier,2.0
LIC,District councils,2.0
LIF,District councils,5.0
LIV,Single tier,1.0
LND,Single tier,4.0
LUT,Single tier,2.0
MAI,District councils,4.0
MAL,District councils,4.0
MAN,Single tier,1.0
MAS,District councils,1.0
MAV,District councils,4.0
MDB,Single tier,1.0
MDE,District councils,4.0
MDW,Single tier,3.0
MEL,District councils,5.0
MEN,District councils,4.0
MIK,Single tier,4.0
MLN,Single tier,3.0
MOL,District councils,5.0
MON,Single tier,4.0
MRT,Single tier,4.0
MRY,Single tier,4.0
MSS,District councils,5.0
MSU,District councils,5.0
MTY,Single tier,1.0
NAY,Single tier,2.0
NBL,Single tier,3.0
NDE,District councils,3.0
NEA,District councils,3.0
NEC,District councils,3.0
NED,District councils,4.0
NEL,Single tier,1.0
NET,Single tier,1.0
NEW,District councils,5.0
NGM,Single tier,1.0
NHE,District councils,5.0
NKE,District councils,5.0
NLK,Single tier,2.0
NLN,Single tier,3.0
NNO,District councils,3.0
NNT,Single tier,3.0
NOW,District councils,2.0
NSM,Single tier,4.0
NTL,Single tier,1.0
NTY,Single tier,3.0
NUN,District councils,3.0
NWA,District councils,4.0
NWL,District councils,4.0
NWM,Single tier,1.0
NWP,Single tier,1.0
OAD,District councils,5.0
OLD,Single tier,1.0
ORK,Single tier,5.0
OXO,District councils,4.0
PEM,Single tier,3.0
PEN,District councils,1.0
PKN,Single tier,5.0
PLY,Single tier,2.0
POR,Single tier,2.0
POW,Single tier,3.0
PRE,District councils,1.0
PTE,Single tier,2.0
RCC,Single tier,1.0
RCH,Single tier,1.0
RCT,Single tier,1.0
RDB,Single tier,4.0
RDG,Single tier,3.0
RED,District councils,3.0
REI,District councils,5.0
RFW,Single tier,3.0
RIB,District councils,5.0
RIC,Single tier,5.0
RIH,District councils,5.0
ROC,District councils,5.0
ROH,District councils,3.0
ROS,District councils,3.0
ROT,Single tier,1.0
RUG,District councils,5.0
RUH,District councils,4.0
RUN,District councils,5.0
RUS,District councils,5.0
RUT,Single tier,5.0
RYE,District councils,4.0
SAL,District councils,5.0
SAW,Single tier,1.0
SAY,Single tier,3.0
SCA,District councils,5.0
SCB,Single tier,4.0
SCE,District councils,2.0
SDE,District councils,5.0
SEG,District councils,3.0
SEL,District councils,5.0
SEV,District councils,5.0
SFT,Single tier,2.0
SGC,Single tier,5.0
SHA,District councils,5.0
SHE,District councils,3.0
SHF,Single tier,2.0
SHN,Single tier,1.0
SHO,District councils,4.0
SHR,Single tier,4.0
SKE,District councils,5.0
SKP,Single tier,3.0
SLA,District councils,5.0
SLF,Single tier,1.0
SLG,Single tier,3.0
SLK,Single tier,3.0
SND,Single tier,1.0
SNO,District councils,5.0
SOL,Single tier,4.0
SOS,Single tier,3.0
SOX,District councils,5.0
SPE,District councils,4.0
SRI,District councils,4.0
SSO,District councils,4.0
SST,District councils,5.0
STA,District councils,5.0
STE,Single tier,1.0
STF,District councils,4.0
STG,Single tier,4.0
STH,Single tier,2.0
STN,Single tier,5.0
STO,District councils,5.0
STR,District councils,5.0
STT,Single tier,2.0
STV,District councils,3.0
STY,Single tier,1.0
SUR,District councils,5.0
SWA,Single tier,2.0
SWD,Single tier,4.0
SWK,Single tier,2.0
SWL,District councils,2.0
SWT,District councils,3.0
TAM,Single tier,1.0
TAN,District councils,5.0
TAW,District councils,3.0
TEI,District councils,4.0
TEN,District councils,1.0
TES,District councils,5.0
TEW,District councils,5.0
TFW,Single tier,2.0
THA,District councils,1.0
THE,District councils,5.0
THR,Single tier,3.0
TOB,Single tier,2.0
TOF,Single tier,2.0
TON,District councils,5.0
TOR,District councils,3.0
TRF,Single tier,4.0
TUN,District councils,5.0
TWH,Single tier,2.0
UTT,District councils,5.0
VAL,District councils,5.0
VGL,Single tier,3.0
WAE,District councils,5.0
WAT,District councils,4.0
WAW,District councils,5.0
WBK,Single tier,5.0
WDE,District councils,4.0
WDU,Single tier,1.0
WEA,District councils,5.0
WEW,District councils,4.0
WFT,Single tier,2.0
WGN,Single tier,2.0
WIL,Single tier,5.0
WIN,District councils,5.0
WKF,Single tier,2.0
WLA,District councils,4.0
WLI,District councils,3.0
WLL,Single tier,1.0
WLN,Single tier,3.0
WLV,Single tier,1.0
WND,Single tier,4.0
WNM,Single tier,5.0
WNT,Single tier,4.0
WOC,District councils,3.0
WOI,District councils,5.0
